


--------------------------------------------------------------------
 Time_to_Death   Inverse K-M Cum. Hazard   Nelson_Aalen Cum. Hazard 
     114.8               0.8406                     0.8341          

     116.2               0.8406                     0.8341          

     116.4               0.8406                     0.8341          

      118                0.8406                     0.8341          

      120                 1.151                     1.101           

      120                 1.151                     1.101           
--------------------------------------------------------------------



-----------------------------------------------------------------
 Time_to_DM   Inverse K-M Cum. Hazard   Nelson_Aalen Cum. Hazard 
------------ ------------------------- --------------------------
     11                  0                         0             

     16                  0                         0             

     32                  0                         0             

     44               0.0051                     0.0051          

    114               0.0051                     0.0051          

    132               0.0051                     0.0051          

    138               0.0103                     0.0103          

    139               0.0155                     0.0155          

    147               0.0155                     0.0155          

    191               0.0155                     0.0155          

    201               0.0155                     0.0155          

    217               0.0209                     0.0208          

    238               0.0262                     0.0262          

    259               0.0316                     0.0315          

    267                0.037                     0.0369          

    279               0.0425                     0.0424          

    287                0.048                     0.0478          

    289                0.048                     0.0478          

    324               0.0535                     0.0534          

    338               0.0591                     0.059           

    341               0.0591                     0.059           

    345               0.0648                     0.0646          

    349               0.0762                     0.076           

    354               0.0762                     0.076           

    407                0.082                     0.0818          

    421               0.0879                     0.0876          

    432               0.0937                     0.0934          

    456               0.0937                     0.0934          

    505               0.0937                     0.0934          

    543               0.0937                     0.0934          

    561               0.0997                     0.0994          

    571               0.1058                     0.1054          

    594               0.1119                     0.1115          

    620               0.1119                     0.1115          

    643                0.118                     0.1176          

    677               0.1242                     0.1238          

    691               0.1304                      0.13           

    712               0.1367                     0.1363          

    738               0.1367                     0.1363          

    742               0.1431                     0.1426          

    788               0.1431                     0.1426          

    901               0.1431                     0.1426          

    922               0.1495                     0.1491          

    947               0.1495                     0.1491          

    956               0.1495                     0.1491          

    1018              0.1495                     0.1491          

    1038              0.1562                     0.1557          

    1065              0.1629                     0.1623          

    1081              0.1696                     0.1691          

    1157              0.1696                     0.1691          

    1166              0.1696                     0.1691          

    1178              0.1696                     0.1691          

    1187              0.1696                     0.1691          

    1198              0.1766                     0.1761          

    1199              0.1766                     0.1761          

    1281              0.1837                     0.1831          

    1306              0.1909                     0.1903          

    1341              0.1909                     0.1903          

    1408              0.1909                     0.1903          

    1447              0.1909                     0.1903          

    1508              0.1909                     0.1903          

    1511              0.1983                     0.1977          

    1514              0.1983                     0.1977          

    1586              0.1983                     0.1977          

    1603              0.2059                     0.2053          

    1621              0.2059                     0.2053          

    1626              0.2137                     0.213           

    1644              0.2137                     0.213           

    1654              0.2137                     0.213           

    1703              0.2137                     0.213           

    1752              0.2137                     0.213           

    1765              0.2137                     0.213           

    1795              0.2137                     0.213           

    1806              0.2137                     0.213           

    1808              0.2137                     0.213           

    1814              0.2137                     0.213           

    1842               0.222                     0.2213          

    1874               0.222                     0.2213          

    1884               0.222                     0.2213          

    1887               0.222                     0.2213          

    2038               0.222                     0.2213          

    2053               0.222                     0.2213          

    2063               0.222                     0.2213          

    2065              0.2309                     0.2301          

    2079              0.2309                     0.2301          

    2082              0.2309                     0.2301          

    2138              0.2309                     0.2301          

    2140              0.2309                     0.2301          

    2142              0.2402                     0.2394          

    2169              0.2402                     0.2394          

    2184              0.2402                     0.2394          

    2205              0.2402                     0.2394          

    2222              0.2402                     0.2394          

    2235              0.2402                     0.2394          

    2237              0.2402                     0.2394          

    2247              0.2402                     0.2394          

    2256              0.2402                     0.2394          

    2260              0.2402                     0.2394          

    2300              0.2402                     0.2394          

    2303              0.2402                     0.2394          

    2324              0.2402                     0.2394          

    2332              0.2402                     0.2394          

    2335              0.2402                     0.2394          

    2354              0.2402                     0.2394          

    2363              0.2402                     0.2394          

    2365              0.2402                     0.2394          

    2379              0.2402                     0.2394          

    2380              0.2402                     0.2394          

    2385              0.2402                     0.2394          

    2389              0.2402                     0.2394          

    2390              0.2402                     0.2394          

    2405              0.2402                     0.2394          

    2407              0.2402                     0.2394          

    2415              0.2402                     0.2394          

    2436              0.2402                     0.2394          

    2443              0.2402                     0.2394          

    2445              0.2402                     0.2394          

    2454              0.2402                     0.2394          

    2462              0.2402                     0.2394          

    2463              0.2402                     0.2394          

    2489              0.2402                     0.2394          

    2493              0.2402                     0.2394          

    2499              0.2402                     0.2394          

    2503              0.2402                     0.2394          

    2520              0.2544                     0.2535          

    2521              0.2544                     0.2535          

    2529              0.2544                     0.2535          

    2534              0.2544                     0.2535          

    2541              0.2544                     0.2535          

    2544              0.2544                     0.2535          

    2563              0.2544                     0.2535          

    2628              0.2544                     0.2535          

    2630              0.2544                     0.2535          

    2637              0.2544                     0.2535          

    2644              0.2544                     0.2535          

    2646              0.2544                     0.2535          

    2663              0.2544                     0.2535          

    2666              0.2544                     0.2535          

    2672              0.2544                     0.2535          

    2675              0.2544                     0.2535          

    2688              0.2544                     0.2535          

    2695              0.2544                     0.2535          

    2709              0.2544                     0.2535          

    2712              0.2544                     0.2535          

    2713              0.2544                     0.2535          

    2715              0.2544                     0.2535          

    2726              0.2544                     0.2535          

    2745              0.2544                     0.2535          

    2748              0.2544                     0.2535          

    2772              0.2544                     0.2535          

    2809              0.2544                     0.2535          

    2819              0.2544                     0.2535          

    2841              0.2544                     0.2535          

    2869              0.2544                     0.2535          

    2872              0.2544                     0.2535          

    2899              0.2544                     0.2535          

    2913              0.2544                     0.2535          

    2919              0.2544                     0.2535          

    2920              0.2544                     0.2535          

    2939              0.2544                     0.2535          

    2947              0.2544                     0.2535          

    2962              0.2544                     0.2535          

    2998              0.2544                     0.2535          

    3010              0.2544                     0.2535          

    3164              0.2544                     0.2535          

    3226              0.2544                     0.2535          

    3228              0.2544                     0.2535          

    3235              0.2544                     0.2535          

    3250              0.2544                     0.2535          

    3293              0.2544                     0.2535          

    3311              0.2544                     0.2535          

    3316              0.2544                     0.2535          

    3320              0.2544                     0.2535          

    3350              0.2544                     0.2535          

    3390              0.2544                     0.2535          

    3439              0.2544                     0.2535          

    3485              0.2544                     0.2535          

    3488              0.2544                     0.2535          

    3493              0.2544                     0.2535          

    3537              0.2544                     0.2535          

    3539              0.2544                     0.2535          

    3587              0.2544                     0.2535          

    3687              0.2544                     0.2535          

    3853              0.2544                     0.2535          

    3891              0.2544                     0.2535          

    3928              0.2544                     0.2535          

    4030              0.2544                     0.2535          

    4090              0.2544                     0.2535          

    4262              0.2544                     0.2535          

    4289              0.2544                     0.2535          

    4720              0.2544                     0.2535          

    5243              0.2544                     0.2535          

    5413              0.2544                     0.2535          

    5413              0.2544                     0.2535          
-----------------------------------------------------------------



-----------------------------------------------------------------
 Time_to_LR   Inverse K-M Cum. Hazard   Nelson_Aalen Cum. Hazard 
------------ ------------------------- --------------------------
     11                  0                         0             

     16                  0                         0             

     32                  0                         0             

     88               0.0051                     0.0051          

    114               0.0051                     0.0051          

    132               0.0051                     0.0051          

    143               0.0051                     0.0051          

    145               0.0103                     0.0103          

    147               0.0103                     0.0103          

    185               0.0156                     0.0156          

    198               0.0209                     0.0209          

    201               0.0209                     0.0209          

    205               0.0263                     0.0262          

    239               0.0317                     0.0316          

    259               0.0371                     0.037           

    260               0.0425                     0.0424          

    264               0.0425                     0.0424          

    267               0.0481                     0.0479          

    287               0.0536                     0.0534          

    289               0.0536                     0.0534          

    341               0.0536                     0.0534          

